,fighter_name,fighter_type
0,Carlos Diego Ferreira,Bjj
1,Takanori Gomi,Wrestler
2,Reza Madadi,Wrestler
3,Shane Campbell,Striker
4,Johnny Case,Wrestler
5,Justin Edwards,Wrestler
6,Stevie Ray,NA
7,Eddie Alvarez,Wrestler
8,KJ Noons,Striker
9,Leo Kuntz,NA
10,Joe Proctor,NA
11,Ben Wall,Striker
12,Darrell Horcher,Wrestler
13,Conor McGregor,Striker
14,Valmir Lazaro,NA
15,Diego Ferreira,Bjj
16,Drew Dober,Striker
17,Mitch Clarke,Wrestler
18,Yosdenis Cedeno,Striker
19,Thibault Gouti,NA
20,Chad Laprise,Striker
21,Danny Castillo,Wrestler
22,Paul Felder,Striker
23,Rick Glenn,NA
24,Yancy Medeiros,Striker
25,Kevin Lee,Wrestler
26,Nick Hein,Judo
27,Tony Sims,NA
28,Gregor Gillespie,Wrestler
29,Magomed Mustafaev,Wrestler
30,Frankie Perez,Bjj
31,Jim Miller,Wrestler
32,Alessandro Ricci,NA
33,Jason Novelli,NA
34,Rodrigo Damm,Bjj
35,Cain Carrizosa,NA
36,Francisco Trinaldo,Striker
37,Daron Cruickshank,Striker
38,Michael Chiesa,NA
39,Jesse Ronson,Wrestler
40,Mehdi Baghdad,Striker
41,Beneil Dariush,Bjj
42,Evan Dunham,Wrestler
43,Melvin Guillard,Wrestler
44,Marcin Wrzosek,NA
45,Ernest Chavez,Wrestler
46,Alexander Volkanovski,Wrestler
47,Jordan Rinaldi,Wrestler
48,JC Cottrell,NA
49,Ross Pearson,NA
50,Gleison Tibau,Bjj
51,Khabib Nurmagomedov,Wrestler
52,Tony Martin,Bjj
53,James Vick,NA
54,Michel Prazeres,Bjj
55,Tony Ferguson,Wrestler
56,Felipe Silva,Striker
57,Abner Lloveras,Striker
58,Marc Diakiese,Striker
59,Lukasz Sajewski,NA
60,Gilbert Melendez,Bjj
61,Gilbert Burns,Bjj
62,Cody Pfister,NA
63,Nazareno Malegarie,Bjj
64,Rustam Khabilov,Wrestler
65,Scott Holtzman,NA
66,Will Brooks,NA
67,Joe Lauzon,NA
68,Islam Makhachev,Wrestler
69,Leandro Silva,Striker
70,Lando Vannata,Wrestler
71,Norman Parke,Wrestler
72,Chris Wade,Wresler
73,Jake Lindsey,NA
74,Damien Brown,Striker
75,Efrain Escudero,Wrestler
76,Tae Hyun Bang,Wrestler
77,Charlie Brenneman,Wrestler
78,Teemu Packalen,Wrestler
79,Elias Silverio,Striker
80,Andrew Holbrook,Wrestler
81,Pat Healy,Wrestler
82,Isaac Vallie-Flagg,NA
83,Al Iaquinta,Wrestler
84,Bobby Green,NA
85,Piotr Hallmann,NA
86,Sam Stout,Striker
87,Mike Rio,Wrestler
88,Marcin Held,Bjj
89,Drakkar Klose,Wrestler
90,Naoyuki Kotani,Bjj
91,Thiago Alves,NA
92,Claudio Puelles,Bjj
93,Lipeng Zhang,Wrestler
94,David Michaud,Wrestler
95,Edson Barboza,Striker
96,Rashid Magomedov,Striker
97,Damir Hadzovic,NA
98,Mickael Lebout,NA
99,Akbarh Arreola,NA
100,Jason Gonzalez,NA
101,Justin Salas,Wrestler
102,Adriano Martins,Bjj
103,Vagner Rocha,Bjj
104,Vinc Pichel,Wrestler
105,Desmond Green,Wrestler
106,Josh Shockley,NA
107,Josh Emmett,Wrestler
108,Abel Trujillo,Wrestler
109,Chris Gruetzemacher,Wrestler
110,Erik Koch,Striker
111,Rodrigo de Lima,Bjj
112,Rafael dos Anjos,Bjj
113,James Krause,Wrestler
114,Ivan Jorge,Bjj
115,Quinn Mulhern,Bjj
116,Chris Wade,Wrestler
117,Michael McBride,Bjj
118,Anthony Njokuani,Striker
119,Josh Thomson,Wrestler
120,Leonardo Mafra,Striker
121,Christos Giagos,Wrestler
122,Yusuke Kasuya,Striker
123,Felipe Olivieri,NA
124,John Makdessi,Striker
125,Kajan Johnson,NA
126,Michael Johnson,Striker
127,Nik Lentz,Wrestler
128,Garett Whiteley,NA
129,Alan Patrick,Bjj
130,Martin Svensson,NA
131,Jason High,Wrestler
132,Olivier Aubin-Mercier,Bjj
133,Jon Tuck,Bjj
134,David Teymur,Striker
135,Francisco Trevino,NA
136,Sage Northcutt,Striker
0,Viscardi Andrade,Bjj
1,Wagner Silva,Bjj
2,Bryan Barberena,NA
3,Max Griffin,Striker
4,Alex Morono,NA
5,Josh Koscheck,Wrestler
6,Jonathan Meunier,Striker
7,Mike Rhodes,NA
8,Alberto Mina,Bjj
